num,abrangencia,classificacao,modalidade,etapa,fase,licenca,documento,doc_id,descricao,atualizacoes,aplicabilidade
1,Estadual,Normativa,LAS - Cadastro,ÚNICA,-,LAS,Cadastro Ambiental Simplificado,,"Documento formal apresentado por meio do Sistema de Licenciamento Ambiental – SLA, disponível no Portal
 Ecosistemas",,"Empreendimentos de Classe 1 e 2 com  Critérios Locacionais 0
Empreendimentos de Classe 1 com  Critérios Locacionais 1"
2,Estadual,Normativa,LAS - Cadastro,ÚNICA,-,LAS,FCE Simplificado,,,,
3,Estadual,Normativa,LAS - Cadastro,ÚNICA,-,LAS,Planta de Situação,,,,"Empreendimentos de Classe 3 com  Critérios Locacionais 0
Empreendimentos de Classe 2 com  Critérios Locacionais 1
Empreendimentos de Classe 1 com  Critérios Locacionais 2"
1,Estadual,Normativa,LAS - Cadastro,ÚNICA,-,LAS,Declaração de inexistência de supressão,,,,"Empreendimentos de Classe 3 com  Critérios Locacionais 0
Empreendimentos de Classe 2 com  Critérios Locacionais 1
Empreendimentos de Classe 1 com  Critérios Locacionais 2"
1,Estadual,Normativa,LAS - Cadastro,ÚNICA,-,LAS,Declaração de inexistência de captação,,,,
1,Estadual,Normativa,LAS - Cadastro,ÚNICA,-,LAS,Medidas Básicas de Controle Ambiental,,,,
2,Estadual,Normativa,LAS - RAS,ÚNICA,-,LAS-RAS,RAS,,"Documento técnico que visa identificar, de forma sucinta, os possíveis impactos ambientais e medidas de controle, relacionados à localização, instalação, operação e ampliação de atividade.",,"Empreendimentos de Classe 3 com  Critérios Locacionais 0
Empreendimentos de Classe 2 com  Critérios Locacionais 1
Empreendimentos de Classe 1 com  Critérios Locacionais 2"
,Estadual,Normativa,LAS - RAS,ÚNICA,-,LAS-RAS,Planta de Implantação,,,,
,Estadual,Normativa,LAS - RAS,ÚNICA,-,LAS-RAS,Controle de Sedimentos,,,,
,Estadual,Normativa,LAS - RAS,ÚNICA,-,LAS-RAS,Inventário biológico simplificado,,,,
3,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP+ LI+ LO,Requerimento de LP,-,"Documento formal apresentado por meio do Sistema de Licenciamento Ambiental – SLA, disponível no Portal
 Ecosistemas",,"Empreendimentos de Classe 4 com  Critérios Locacionais 0
Empreendimentos de Classe 3 com  Critérios Locacionais 1
Empreendimentos de Classe 2 com  Critérios Locacionais 2"
4,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP+ LI+ LO,Cópia da publicação do pedido a LP,-,-,,"Empreendimentos de Classe 4 com  Critérios Locacionais 0
Empreendimentos de Classe 3 com  Critérios Locacionais 1
Empreendimentos de Classe 2 com  Critérios Locacionais 2"
5,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP+ LI+ LO,Declaração da prefeitura,-,"Declaração que atesta que o empreendimento está em conformidade com as normas municipais (zoneamento, uso do solo, legislação urbanística, etc.) antes da análise pelo órgão ambiental estadual ou federal.",,"Empreendimentos de Classe 4 com  Critérios Locacionais 0
Empreendimentos de Classe 3 com  Critérios Locacionais 1
Empreendimentos de Classe 2 com  Critérios Locacionais 2"
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Estudo de Impacto Ambiental,EIA,Documento técnico detalhado e obrigatório para o licenciamento de atividades com potencial de significativa degradação ambienta,,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Relatório de Impacto Ambienta,RIMA,"O Relatório de Impacto Ambiental (RIMA) é um documento técnico, público e didático que reflete as conclusões do Estudo de Impacto Ambiental (EIA), exigido no licenciamento de projetos significativos",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Formulário de Caracterização do Empreendimento,FCE,"Detalha a natureza, atividades, localização, processos produtivos, insumos, recursos hídricos e resíduos de uma empresa. Ele serve para o órgão ambiental avaliar os impactos, enquadrar o risco e definir medidas mitigadoras.",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Memorial Descritivo,-,"Documento técnico essencial que detalha as características, atividades, localização, infraestrutura e impactos potenciais de um empreendimento.",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Planta topográfica,-,-,,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Mapas de Acesso,-,-,,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Taxas Ambientais,-,-,,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Plano de Controle Ambiental,PCA,"Documento técnico  que identifica, avalia e propõe medidas mitigadoras, monitoramento e controles para impactos ambientais gerados por empreendimentos poluidores",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Inventário fauna aquática,-,"Estudo técnico para identificar, quantificar e mapear espécies animais (peixes, plâncton, bentos) em um local e tempo específicos",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Monitoramento fauna aquática,,"Coleta periódica, identificação e análise de peixes (ictiofauna), macroinvertebrados e plâncton para avaliar a saúde do ecossistema, impactos ambientais e qualidade da água",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Resgate/ salvamento/ peixamento – Fauna aquática,,"Procedimentos técnicos e ambientais fundamentais para mitigar impactos humanos sobre ecossistemas hídricos, comuns em obras de engenharia (barragens, pontes), desastres ambientais ou manejo sustentável.",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Inventário fauna terrestre,-,"Levantamento sistemático para identificar, catalogar e avaliar a diversidade, abundância e estado de conservação das espécies animais em uma área e tempo específicos",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Monitoramento  – Fauna  terrestre,-,"Estudo sistemático para avaliar os impactos de empreendimentos sobre animais silvestres antes, durante e após obras, rastreando distribuição, diversidade e estrutura populacional",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Resgate e Destinação  – Fauna  terrestre,-,"Ações técnicas de captura, manejo, salvamento e realocação de animais silvestres ameaçados por obras ou empreendimentos, visando mitigar impactos, garantir sua sobrevivência e integridade física",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Outorga,-,"Autorização legal dada pelo Estado/União para que um usuário (empresa, produtor rural) use a água de rios, poços ou barragens",,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LP,Anuências,-,,,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LI,Atualização do FCE,-,,,
,Estadual,Normativa,LAC1,ÚNICA,LP+ LI+ LO,LI,Publicação da LP,-,,,
